episode,total_steps,reward,rolling_reward_100,epsilon,loss
576,28478,0.0,1.74,0.829342,nan
577,28540,3.0,1.75,0.829132,nan
578,28586,1.0,1.74,0.8287599999999999,nan
579,28631,1.0,1.73,0.828484,nan
580,28671,1.0,1.72,0.828214,nan
581,28704,0.0,1.72,0.827974,nan
582,28744,1.0,1.72,0.827776,nan
583,28815,4.0,1.74,0.827536,nan
584,28856,1.0,1.73,0.82711,nan
585,28890,0.0,1.71,0.826864,nan
586,28984,6.0,1.76,0.82666,nan
587,29045,3.0,1.74,0.8260959999999999,nan
588,29079,0.0,1.72,0.82573,nan
589,29111,0.0,1.71,0.825526,nan
590,29145,0.0,1.69,0.825334,nan
591,29188,1.0,1.69,0.82513,nan
592,29240,2.0,1.67,0.824872,nan
593,29287,2.0,1.67,0.82456,nan
594,29329,1.0,1.67,0.824278,nan
595,29375,2.0,1.66,0.824026,nan
596,29425,2.0,1.65,0.82375,nan
597,29472,2.0,1.65,0.82345,nan
598,29543,4.0,1.66,0.823168,nan
599,29587,1.0,1.63,0.822742,nan
600,29641,3.0,1.65,0.822478,nan
601,29675,0.0,1.63,0.822154,nan
602,29743,3.0,1.66,0.82195,nan
603,29778,0.0,1.65,0.821542,nan
604,29810,0.0,1.64,0.821332,nan
605,29862,2.0,1.66,0.82114,nan
606,29932,4.0,1.69,0.820828,nan
607,29973,1.0,1.7,0.820408,nan
608,30015,1.0,1.68,0.8201620000000001,nan
609,30075,3.0,1.71,0.81991,nan
610,30123,2.0,1.7,0.81955,nan
611,30166,1.0,1.68,0.8192619999999999,nan
612,30200,0.0,1.65,0.819004,nan
613,30243,1.0,1.64,0.8188,nan
614,30284,1.0,1.65,0.818542,nan
615,30348,3.0,1.67,0.818296,nan
616,30380,0.0,1.65,0.817912,nan
617,30420,1.0,1.63,0.81772,nan
618,30473,2.0,1.6,0.81748,nan
619,30517,1.0,1.61,0.8171619999999999,nan
620,30573,2.0,1.6,0.816898,nan
621,30628,2.0,1.6,0.816562,nan
622,30688,3.0,1.63,0.816232,nan
623,30755,4.0,1.67,0.8158719999999999,nan
624,30848,6.0,1.73,0.81547,nan
625,30887,1.0,1.7,0.814912,nan
626,30938,2.0,1.72,0.814678,nan
627,30979,1.0,1.7,0.814372,nan
628,31033,3.0,1.73,0.814126,nan
629,31084,2.0,1.74,0.813802,nan
630,31141,2.0,1.75,0.813496,nan
